Date,Number of articles
29. Sep 2020,35
30. Sep 2020,31
1. Oct 2020,16
2. Oct 2020,20
3. Oct 2020,6
4. Oct 2020,10
5. Oct 2020,20
6. Oct 2020,29
7. Oct 2020,22
8. Oct 2020,36
9. Oct 2020,31
10. Oct 2020,25
11. Oct 2020,14
12. Oct 2020,32
13. Oct 2020,47
14. Oct 2020,40
15. Oct 2020,47
16. Oct 2020,31
17. Oct 2020,22
18. Oct 2020,13
19. Oct 2020,32
20. Oct 2020,40
21. Oct 2020,41
22. Oct 2020,49
23. Oct 2020,37
24. Oct 2020,19
25. Oct 2020,21
26. Oct 2020,35
27. Oct 2020,36
28. Oct 2020,18
29. Oct 2020,32
30. Oct 2020,35
31. Oct 2020,25
1. Nov 2020,23
2. Nov 2020,29
3. Nov 2020,28
4. Nov 2020,28
5. Nov 2020,18
6. Nov 2020,35
7. Nov 2020,11
8. Nov 2020,12
9. Nov 2020,23
10. Nov 2020,29
11. Nov 2020,32
12. Nov 2020,24
13. Nov 2020,22
14. Nov 2020,19
15. Nov 2020,10
16. Nov 2020,24
17. Nov 2020,14
18. Nov 2020,26
19. Nov 2020,14
20. Nov 2020,17
21. Nov 2020,11
22. Nov 2020,9
23. Nov 2020,25
24. Nov 2020,17
25. Nov 2020,24
26. Nov 2020,17
27. Nov 2020,20
28. Nov 2020,13
29. Nov 2020,17
30. Nov 2020,21
1. Dec 2020,19
2. Dec 2020,27
3. Dec 2020,21
4. Dec 2020,18
5. Dec 2020,12
6. Dec 2020,12
7. Dec 2020,19
8. Dec 2020,20
9. Dec 2020,24
10. Dec 2020,21
11. Dec 2020,16
12. Dec 2020,9
13. Dec 2020,9
14. Dec 2020,27
15. Dec 2020,20
16. Dec 2020,28
17. Dec 2020,25
18. Dec 2020,21
19. Dec 2020,17
20. Dec 2020,14
21. Dec 2020,17
22. Dec 2020,19
23. Dec 2020,20
24. Dec 2020,10
25. Dec 2020,8
26. Dec 2020,8
27. Dec 2020,15
28. Dec 2020,16
29. Dec 2020,13
30. Dec 2020,25
31. Dec 2020,13
1. Jan 2021,12
2. Jan 2021,11
3. Jan 2021,11
4. Jan 2021,34
5. Jan 2021,26
6. Jan 2021,18
7. Jan 2021,22
8. Jan 2021,22
9. Jan 2021,19
10. Jan 2021,18
11. Jan 2021,25
12. Jan 2021,33
13. Jan 2021,28
14. Jan 2021,21
15. Jan 2021,34
16. Jan 2021,17
17. Jan 2021,7
18. Jan 2021,25
19. Jan 2021,22
20. Jan 2021,14
21. Jan 2021,28
22. Jan 2021,36
23. Jan 2021,15
24. Jan 2021,15
25. Jan 2021,30
26. Jan 2021,25
27. Jan 2021,28
28. Jan 2021,31
29. Jan 2021,23
30. Jan 2021,21
31. Jan 2021,16
1. Feb 2021,22
